num_params,lr,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,acc_10,acc_11,acc_12,acc_13,acc_14,acc_15,acc_16,acc_17,acc_18,acc_19,acc_20,acc_21,acc_22,acc_23,acc_24,acc_25,acc_26,acc_27,acc_28,acc_29,acc_30,acc_31,acc_32,acc_33,acc_34,acc_35,acc_36,acc_37,acc_38,acc_39,acc_40,acc_41,acc_42,acc_43,acc_44,acc_45,acc_46,acc_47,acc_48,acc_49
282804,0.001,0.3095703125,0.3527644231,0.4733573718,0.4899839744,0.5154246795,0.5314503205,0.5358573718,0.5162259615,0.5845352564,0.5787259615,0.6129807692,0.6282051282,0.6322115385,0.6536458333,0.648036859,0.6492387821,0.65546875,0.6520432692,0.6726762821,0.6552483974,0.6893028846,0.5971554487,0.6484375,0.6732772436,0.6740785256,0.7117387821,0.6772836538,0.6979166667,0.7185496795,0.726963141,0.7439903846,0.7455929487,0.748828125,0.7514022436,0.7506009615,0.7473958333,0.7459935897,0.7508012821,0.7506009615,0.7502003205,0.7508012821,0.7532051282,0.7516025641,0.7558092949,0.7524038462,0.7552083333,0.7584134615,0.7546073718,0.7564453125,0.7568108974
160020,0.001,0.2779296875,0.3467548077,0.4142628205,0.4012419872,0.3954326923,0.4278846154,0.4719551282,0.5162259615,0.5318509615,0.5516826923,0.515224359,0.5875400641,0.5815304487,0.5823317308,0.5951522436,0.6009615385,0.6169921875,0.5779246795,0.5985576923,0.5875400641,0.5995592949,0.5877403846,0.6151842949,0.6490384615,0.6051682692,0.6294070513,0.6147836538,0.6422275641,0.6616586538,0.6840945513,0.6989182692,0.6995192308,0.7009765625,0.7005208333,0.6991185897,0.702724359,0.7019230769,0.7073317308,0.7037259615,0.7059294872,0.7053285256,0.7097355769,0.7079326923,0.7079326923,0.7073317308,0.7079326923,0.7065304487,0.7137419872,0.7134765625,0.7121394231
160164,0.001,0.215234375,0.3703926282,0.3764022436,0.4180689103,0.4661458333,0.445713141,0.4258814103,0.4523237179,0.4983974359,0.5530849359,0.5500801282,0.5921474359,0.6141826923,0.5598958333,0.6117788462,0.6113782051,0.6349609375,0.6252003205,0.6524439103,0.6498397436,0.6604567308,0.6534455128,0.6294070513,0.6552483974,0.6486378205,0.6666666667,0.6578525641,0.6672676282,0.6664663462,0.6947115385,0.7145432692,0.7149439103,0.7166015625,0.7163461538,0.7189503205,0.7161458333,0.7213541667,0.7179487179,0.7179487179,0.7207532051,0.7141426282,0.7233573718,0.7197516026,0.7239583333,0.7211538462,0.7201522436,0.7217548077,0.7241586538,0.722265625,0.7223557692
507564,0.001,0.2677734375,0.3030849359,0.3958333333,0.4777644231,0.4403044872,0.4933894231,0.4421073718,0.5548878205,0.4511217949,0.5496794872,0.5510817308,0.5737179487,0.624599359,0.6153846154,0.6468349359,0.5949519231,0.6529296875,0.5414663462,0.6468349359,0.6676682692,0.6590544872,0.6754807692,0.6648637821,0.6596554487,0.6682692308,0.6814903846,0.65625,0.6864983974,0.6959134615,0.7181490385,0.7439903846,0.7457932692,0.7423828125,0.7457932692,0.7477964744,0.7445913462,0.7461939103,0.7475961538,0.7455929487,0.7469951923,0.7441907051,0.7463942308,0.7493990385,0.7475961538,0.7536057692,0.7463942308,0.7514022436,0.7473958333,0.7462890625,0.7491987179
185790,0.001,0.228125,0.3409455128,0.4092548077,0.4084535256,0.4304887821,0.4290865385,0.469150641,0.5272435897,0.4887820513,0.5526842949,0.5344551282,0.555088141,0.5689102564,0.5693108974,0.5344551282,0.5775240385,0.5935546875,0.5923477564,0.6278044872,0.6270032051,0.6302083333,0.5963541667,0.6426282051,0.6436298077,0.6213942308,0.6129807692,0.6346153846,0.5943509615,0.6360176282,0.6834935897,0.6937099359,0.6925080128,0.697265625,0.6973157051,0.6989182692,0.7011217949,0.7023237179,0.6997195513,0.7045272436,0.7065304487,0.7025240385,0.702724359,0.7049278846,0.7093349359,0.7095352564,0.710536859,0.7079326923,0.7101362179,0.7095703125,0.7115384615
370818,0.001,0.248828125,0.3695913462,0.3615785256,0.3764022436,0.4431089744,0.4957932692,0.4813701923,0.5174278846,0.4479166667,0.5538862179,0.5552884615,0.5717147436,0.5306490385,0.6037660256,0.577724359,0.5989583333,0.6013671875,0.6033653846,0.6241987179,0.6065705128,0.5639022436,0.6422275641,0.6380208333,0.5971554487,0.6380208333,0.6614583333,0.6328125,0.6578525641,0.6578525641,0.6977163462,0.7143429487,0.7165464744,0.71875,0.7203525641,0.7217548077,0.718349359,0.7179487179,0.7199519231,0.7281650641,0.7221554487,0.7207532051,0.7237580128,0.7233573718,0.7243589744,0.7197516026,0.7265625,0.7247596154,0.7273637821,0.7251953125,0.7245592949
327960,0.001,0.2806640625,0.3569711538,0.3806089744,0.4094551282,0.4585336538,0.4575320513,0.4336939103,0.4483173077,0.4493189103,0.4647435897,0.5637019231,0.5651041667,0.5799278846,0.6025641026,0.5857371795,0.5981570513,0.6384765625,0.5516826923,0.6364182692,0.6185897436,0.6468349359,0.6304086538,0.6320112179,0.6262019231,0.6534455128,0.6596554487,0.6694711538,0.6744791667,0.6774839744,0.6989182692,0.7137419872,0.7201522436,0.723828125,0.7161458333,0.7177483974,0.7209535256,0.7207532051,0.7237580128,0.7199519231,0.7193509615,0.7237580128,0.7227564103,0.7219551282,0.7221554487,0.7245592949,0.7247596154,0.7237580128,0.7251602564,0.7275390625,0.7223557692
470628,0.001,0.2328125,0.3731971154,0.4022435897,0.4757612179,0.4959935897,0.5112179487,0.5598958333,0.5765224359,0.4985977564,0.5921474359,0.5805288462,0.6151842949,0.6366185897,0.6348157051,0.6113782051,0.6151842949,0.65078125,0.5947516026,0.6115785256,0.6532451923,0.6201923077,0.6628605769,0.6668669872,0.6728766026,0.6472355769,0.6692708333,0.6239983974,0.6538461538,0.6905048077,0.7081330128,0.7325721154,0.7337740385,0.7375,0.7353766026,0.734775641,0.7353766026,0.7377804487,0.7353766026,0.7373798077,0.7361778846,0.7377804487,0.7385817308,0.7365785256,0.7371794872,0.7387820513,0.7409855769,0.7429887821,0.7415865385,0.7435546875,0.7403846154
157716,0.001,0.2197516026,0.2618189103,0.344150641,0.3968349359,0.4070512821,0.3796073718,0.4352964744,0.4423076923,0.5226362179,0.4993990385,0.4403044872,0.5625,0.5194310897,0.5865384615,0.5724609375,0.6153846154,0.5831330128,0.5925480769,0.5719150641,0.6213942308,0.6368189103,0.6364182692,0.6374198718,0.6338141026,0.6290064103,0.6564503205,0.6688701923,0.6594551282,0.6672676282,0.6905048077,0.703125,0.7051282051,0.7087339744,0.7071314103,0.7129407051,0.7085336538,0.7117387821,0.7135416667,0.7115384615,0.7137419872,0.7127403846,0.7127403846,0.7181490385,0.7145432692,0.7181490385,0.7147435897,0.7130859375,0.7163461538,0.7137419872,0.7179487179
263088,0.001,0.2171474359,0.3615785256,0.4252804487,0.4431089744,0.4735576923,0.4967948718,0.4791666667,0.5446714744,0.5548878205,0.5769230769,0.5881410256,0.6199919872,0.6137820513,0.6159855769,0.6123046875,0.6466346154,0.6342147436,0.6516426282,0.6466346154,0.6237980769,0.648036859,0.6386217949,0.6574519231,0.6598557692,0.663661859,0.6756810897,0.6828926282,0.6923076923,0.671474359,0.7201522436,0.7291015625,0.7293669872,0.7307692308,0.7305689103,0.7295673077,0.7337740385,0.7327724359,0.7315705128,0.7345753205,0.7329727564,0.7309695513,0.7365785256,0.734775641,0.7331730769,0.7361778846,0.7337740385,0.739453125,0.7401842949,0.7397836538,0.7395833333
