location,n_layer,n_inputs,base_lr,ss,ep_0,ep_1,ep_2,ep_3,ep_4,ep_5,ep_6,ep_7,ep_8,ep_9,ep_10,ep_11,ep_12,ep_13,ep_14,ep_15,ep_16,ep_17,ep_18,ep_19,ep_20,ep_21,ep_22,ep_23,ep_24,ep_25,ep_26,ep_27,ep_28,ep_29,ep_30,ep_31,ep_32,ep_33,ep_34,ep_35,ep_36,ep_37,ep_38,ep_39,ep_40,ep_41,ep_42,ep_43,ep_44,ep_45,ep_46,ep_47,ep_48,ep_49,ep_50,ep_51,ep_52,ep_53,ep_54,ep_55,ep_56,ep_57,ep_58
trained_models/penntree_ms_gpu_0_prometheus//n_layer_2_num_out_90_base_lr_0.1_s_15000/ ,2,90,0.1,15000,296,204.5,177.4,160.1,143.8,138.4,134.1,124.3,119.9,119.4,115.4,114.1,111,108.6,107.3,107.4,108.3,105.4,104.6,101.8,101.8,103.6,104.5,101.9,100.3,99.51,98.8,97.6,97.79,97.6,98.05,96.76,97.22,95.52,95.79,97.04,96.16,94.85,94.78,95.79,89.64,89.32,89.05,88.83,88.65,88.5,88.34,88.23,88.11,87.99,87.87,87.76,87.66,87.56,87.47,87.38,87.29,87.2,87.1,87.01
trained_models/penntree_ms_gpu_0_prometheus//n_layer_2_num_out_330_base_lr_0.1_s_15000/ ,2,330,0.1,15000,286.3,196.9,159,146.9,132.1,126.2,118.7,112.9,108.5,106.1,105.1,100.9,99.46,98.78,96.37,96.43,95.85,95.52,92.11,91.61,93.22,91.65,90.82,89.67,89.03,88.47,89.55,88.79,87.4,87.78,86.57,86.45,87.48,85.8,85.32,87.45,80.99,80.53,80.26,80.06,79.88,79.7,79.52,79.38,79.24,79.12,79.01,78.92,78.82,78.73,78.64,78.56,78.48,78.4,78.32,78.24,78.16,78.08,78.01,77.93
trained_models/penntree_ms_gpu_0_prometheus//n_layer_2_num_out_570_base_lr_0.1_s_15000/ ,2,570,0.1,15000,292.4,189,156.6,141.4,129.8,120.2,113.7,108.3,104,100.5,99.72,96.82,94.75,93.37,91.79,91.66,90.82,89.92,88.79,88.05,89.72,87.93,88.06,85.89,85.19,84.19,85.21,84.88,84.16,83.5,84.05,82.7,82.39,82.11,82.38,82.46,81.98,82.13,81.49,81.19,81,80.25,80.97,79.99,80.33,80.29,79.53,79.75,80,80.72,75.24,74.84,74.64,74.48,74.34,74.22,74.09,73.99,73.88,73.78
trained_models/penntree_ms_gpu_0_prometheus//n_layer_2_num_out_810_base_lr_0.1_s_15000/ ,2,810,0.1,15000,274.2,194.8,157.7,140,125.4,117.1,110.9,106.8,102.2,100.7,96.91,94.91,92.73,91.18,90.92,89.06,88.83,87.42,86.49,87.53,87.44,84.86,87.41,83.22,82.54,81.85,82.21,83.14,81.28,81.13,80.94,80.18,80.72,80.17,79.68,80.93,79.89,79.22,78.47,78,78.47,77.98,78.45,78.67,78.21,77.31,77.31,77.56,77.84,77.92,78.18,73.01,72.63,72.4,72.2,72.03,71.87,71.75,71.65,71.54
trained_models/penntree_ms_gpu_0_prometheus//n_layer_2_num_out_1050_base_lr_0.1_s_15000/ ,2,1050,0.1,15000,288.6,190.1,160.3,137.2,125.5,116.9,110.3,104.5,101.5,97.86,96.01,93.13,91.06,89.42,89.91,88.1,87.48,86.71,84.94,84.53,84.61,84.11,83.42,82.21,82.02,81.26,81.16,81.56,80.4,79.81,79,78.86,79.31,78.9,78.35,79.95,74.04,73.48,73.15,72.91,72.73,72.57,72.44,72.32,72.21,72.11,72,71.89,71.79,71.67,71.57,71.48,71.4,71.32,71.24,71.16,71.09,71.02,70.95,70.88
trained_models/penntree_ms_gpu_0_prometheus//n_layer_2_num_out_1290_base_lr_0.1_s_15000/ ,2,1290,0.1,15000,292.9,197,160.5,138.3,125.3,115.4,109.7,103.6,100.9,98.39,95.18,95.4,91.42,89.37,87.6,88.61,84.96,84.62,84.15,83.96,84.11,83.28,81.53,81.74,80.93,79.83,79.57,80.07,78.53,78.77,78.68,77.71,78.45,78.1,77.25,77.78,76.82,77.05,76.5,75.99,75.8,77.19,76.13,75.72,76.17,74.87,75.35,75.4,74.91,74.78,76.21,70.69,70.29,70.02,69.81,69.67,69.54,69.41,69.3,69.21
trained_models/penntree_ms_gpu_0_prometheus//n_layer_3_num_out_130_base_lr_0.1_s_15000/ ,3,130,0.1,15000,375.2,233.6,195.5,168.6,155.6,145.7,137.7,132,125.6,122.4,121.5,116.4,114.8,112.7,110.7,110.9,109.4,107.6,105.9,104.4,108.5,105.5,107.6,101.4,101.8,100.2,104.7,95.07,94.54,94.14,93.8,93.55,93.31,93.11,92.91,92.71,92.53,92.35,92.18,92.01,91.83,91.66,91.51,91.35,91.2,91.06,90.92,90.8,90.68,90.56,90.45,90.34,90.23,90.12,90.02,89.92,89.82,89.73,89.63,89.54
trained_models/penntree_ms_gpu_0_prometheus//n_layer_3_num_out_370_base_lr_0.1_s_15000/ ,3,370,0.1,15000,330.1,214,172.1,152.4,143.2,131.6,124.9,116.1,110.4,107.5,107.5,101.7,100.4,98.41,97.31,97.15,96.03,93.87,92.61,91.18,93.69,91.3,90.65,89.49,88.58,88.14,88.09,89.26,86.17,86.47,85.87,85.41,86.63,84.45,85.74,84.8,84.32,83.58,83.24,83.27,83.41,82.4,82.28,81.98,82,82.45,81.39,81.38,81.28,80.92,81.01,80.68,81.52,76.57,76.25,76.01,75.82,75.65,75.51,75.39
trained_models/penntree_ms_gpu_0_prometheus//n_layer_3_num_out_610_base_lr_0.1_s_15000/ ,3,610,0.1,15000,339.6,215.7,167.7,151.3,132.8,123.9,117,112.5,105.4,105.2,100.3,99.98,95.99,93.17,91.69,91.22,89.04,89.06,89.06,86.32,88.41,84.77,85.1,84.03,83.32,82.18,81.92,82.14,80.8,80.4,80.07,80.2,80.25,79.26,79.68,78.98,79.12,78.68,78.72,78.16,77.93,77.14,77.29,78.29,77.34,76.36,76.2,76.1,76.47,75.72,75.37,75.88,75.86,75.16,75.06,74.9,74.89,74.25,75.11,74.68
trained_models/penntree_ms_gpu_0_prometheus//n_layer_3_num_out_850_base_lr_0.1_s_15000/ ,3,850,0.1,15000,337,218.9,167.3,151,135.5,123,116.4,109,104.2,99.98,98.32,94.6,92.75,90.47,88.84,88.11,89.26,85.81,84.51,83.23,83.51,82.18,81.99,83.21,80.22,79.49,80.64,79.19,78.33,77.97,77.74,77.05,77.11,76.73,76.04,77.01,76.95,75.92,75.39,75.06,76.03,75.64,76.39,70.59,70.23,69.97,69.77,69.62,69.46,69.33,69.2,69.08,68.97,68.87,68.78,68.67,68.58,68.49,68.41,68.34
