net,training_dataset,num_params,depth,lr,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,acc_10,acc_11,acc_12,acc_13,acc_14,acc_15,acc_16,acc_17,acc_18,acc_19,acc_20
"[C(64,1,1), C(128,1,1), D(1,3), P(2,2), C(64,1,1), D(2,3), C(128,5,1), C(128,3,1), D(3,3), GAP(10), SM(10)]",cifar10,370112,8,0.001,0.3152,0.4004,0.442,0.4724,0.5008,0.5296,0.536,0.5398,0.5454,0.5462,0.5552,0.5564,0.56,0.5596,0.5648,0.5658,0.5674,0.5678,0.5664,0.5672
"[C(256,1,1), C(128,3,1), D(1,5), C(512,1,1), C(64,3,1), D(2,5), C(256,1,1), P(3,2), D(3,5), C(512,5,1), P(5,3), D(4,5), C(512,1,1), C(64,1,1), D(5,5), SM(10)]",cifar10,4248320,11,0.001,0.3828,0.425,0.445,0.4774,0.4728,0.4826,0.4806,0.4986,0.4928,0.4988,0.5132,0.5146,0.5156,0.5176,0.52,0.5168,0.5146,0.5158,0.516,0.5186
"[C(64,5,1), C(256,3,1), D(1,1), GAP(10), SM(10)]",cifar10,154816,4,0.001,0.3394,0.3764,0.4048,0.429,0.449,0.4718,0.4754,0.4786,0.4818,0.481,0.4856,0.4854,0.487,0.4878,0.488,0.49,0.49,0.4892,0.4892,0.4898
"[C(256,3,1), C(64,5,1), D(1,4), P(5,3), C(256,5,1), D(2,4), P(2,2), C(64,3,1), D(3,4), C(128,3,1), C(512,3,1), D(4,4), GAP(10), SM(10)]",cifar10,1642240,10,0.00016,0.2292,0.3922,0.49,0.5398,0.591,0.659,0.663,0.6668,0.6828,0.6816,0.6912,0.6952,0.6914,0.6978,0.6998,0.7,0.701,0.7022,0.7006,0.7014
"[C(64,3,1), C(512,3,1), D(1,5), C(512,3,1), C(256,3,1), D(2,5), C(256,1,1), C(512,3,1), D(3,5), C(256,5,1), C(128,3,1), D(4,5), C(256,3,1), C(256,5,1), D(5,5), GAP(10), SM(10)]",cifar10,10588352,12,0.00016,0.202,0.2918,0.3826,0.4328,0.4716,0.5306,0.5436,0.558,0.5614,0.5796,0.5918,0.5942,0.5966,0.5948,0.5978,0.5986,0.598,0.5976,0.5976,0.5972
"[C(512,1,1), C(512,5,1), D(1,3), C(64,5,1), C(256,3,1), D(2,3), P(2,2), C(256,5,1), D(3,3), GAP(10), SM(10)]",cifar10,9162752,8,0.0004,0.2796,0.372,0.4458,0.4972,0.5202,0.5318,0.5266,0.5342,0.5318,0.5406,0.5708,0.5714,0.5742,0.5726,0.575,0.5756,0.5752,0.5764,0.5764,0.5754
"[C(64,5,1), C(256,1,1), D(1,9), P(3,2), C(64,1,1), D(2,9), C(128,1,1), C(512,3,1), D(3,9), C(256,1,1), C(512,5,1), D(4,9), C(256,1,1), C(512,3,1), D(5,9), C(64,3,1), P(3,2), D(6,9), C(512,1,1), C(64,3,1), D(7,9), FC(128), D(8,9), SM(10)]",cifar10,6394560,16,0.001,0.335,0.4156,0.4644,0.4968,0.54,0.5664,0.5576,0.5488,0.5664,0.5504,0.598,0.5994,0.5958,0.6022,0.602,0.594,0.5966,0.5962,0.6008,0.5932
"[C(128,5,1), C(512,1,1), D(1,6), C(256,1,1), C(64,5,1), D(2,6), C(64,5,1), C(512,5,1), D(3,6), C(64,5,1), C(64,1,1), D(4,6), C(64,5,1), C(128,3,1), D(5,6), P(2,2), C(512,5,1), D(6,6), GAP(10), SM(10)]",cifar10,4180352,14,0.00016,0.2714,0.3206,0.4588,0.5122,0.575,0.6148,0.6258,0.6356,0.64,0.6446,0.637,0.6378,0.6364,0.6386,0.6384,0.6514,0.652,0.6506,0.6524,0.6514
"[C(128,5,1), C(128,3,1), D(1,7), C(512,1,1), P(5,3), D(2,7), C(512,3,1), C(64,3,1), D(3,7), C(256,1,1), P(3,2), D(4,7), C(128,3,1), FC(512), D(5,7), FC(512), D(6,7), SM(10)]",cifar10,4760960,12,0.001,0.3276,0.3966,0.4838,0.5338,0.5648,0.5882,0.6008,0.6006,0.6096,0.6242,0.6508,0.6492,0.6546,0.653,0.652,0.6546,0.6532,0.656,0.6564,0.6554
"[C(512,1,1), C(128,1,1), D(1,9), P(3,2), C(64,3,1), D(2,9), C(512,1,1), C(256,5,1), D(3,9), C(128,3,1), C(256,3,1), D(4,9), C(512,5,1), C(128,5,1), D(5,9), C(128,1,1), C(64,5,1), D(6,9), C(128,5,1), C(256,3,1), D(7,9), C(128,1,1), C(128,5,1), D(8,9), C(512,5,1), C(128,3,1), D(9,9), SM(10)]",cifar10,12494336,19,0.000064,0.364,0.453,0.4816,0.546,0.5804,0.5926,0.6062,0.607,0.6168,0.626,0.6374,0.634,0.6354,0.638,0.6394,0.644,0.6436,0.6434,0.6426,0.643
"[C(512,5,1), P(3,2), D(1,2), C(256,5,1), C(128,1,1), D(2,2), SM(10)]",cifar10,3364352,5,0.001,0.5394,0.6148,0.6754,0.7014,0.7094,0.747,0.7544,0.757,0.7642,0.7682,0.78,0.78,0.7826,0.7846,0.785,0.7858,0.7812,0.7836,0.7842,0.784
"[C(128,3,1), C(256,5,1), D(1,4), C(64,1,1), C(128,3,1), D(2,4), C(64,3,1), C(512,1,1), D(3,4), C(512,3,1), SM(10)]",cifar10,5737856,8,0.0004,0.4374,0.5314,0.583,0.6178,0.6342,0.6634,0.6668,0.6718,0.6742,0.6714,0.6822,0.6858,0.6886,0.6908,0.69,0.6974,0.6962,0.6958,0.6964,0.6968
"[C(64,3,1), C(128,5,1), D(1,4), C(256,3,1), C(64,1,1), D(2,4), C(256,1,1), C(256,5,1), D(3,4), P(3,2), C(256,1,1), D(4,4), P(3,2), GAP(10), SM(10)]",cifar10,2240704,11,0.001,0.2526,0.3324,0.4406,0.4698,0.4804,0.5184,0.5258,0.5346,0.5466,0.553,0.5544,0.5568,0.5596,0.5634,0.5656,0.5702,0.57,0.5704,0.5726,0.5728
"[C(256,1,1), C(512,3,1), D(1,2), C(64,1,1), C(64,1,1), D(2,2), SM(10)]",cifar10,1221376,5,0.001,0.5216,0.5804,0.6054,0.6302,0.649,0.6756,0.675,0.6786,0.683,0.6814,0.6912,0.6914,0.6926,0.695,0.6952,0.6972,0.6954,0.6962,0.6968,0.699
"[C(128,3,1), C(256,3,1), D(1,1), GAP(10), SM(10)]",cifar10,300928,4,0.001,0.3032,0.3626,0.3962,0.4146,0.4396,0.4616,0.4648,0.4676,0.472,0.473,0.4812,0.4822,0.4828,0.485,0.4854,0.4856,0.4852,0.486,0.4868,0.487
