net,training_dataset,num_params,depth,lr,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,acc_10,acc_11,acc_12,acc_13,acc_14,acc_15,acc_16,acc_17,acc_18,acc_19,acc_20
"[C(128,1,1), C(256,5,1), D(1,2), P(5,3), SM(10)]",svhn,819584,4,0.0004,0.4906,0.4766,0.4964,0.4986,0.4914,0.5278,0.5186,0.5232,0.5254,0.5234,0.535,0.5376,0.5364,0.5394,0.6596,0.6754,0.6798,0.6796,0.6822,0.6832
"[C(256,3,1), C(128,1,1), D(1,6), C(64,5,1), C(256,3,1), D(2,6), C(64,5,1), C(128,1,1), D(3,6), C(256,5,1), P(5,3), D(4,6), C(256,5,1), C(512,1,1), D(5,6), C(128,5,1), C(512,1,1), D(6,6), SM(10)]",svhn,5364480,13,0.0004,0.7736,0.8402,0.8568,0.8854,0.8938,0.916,0.9194,0.92,0.9218,0.925,0.9274,0.928,0.9288,0.9286,0.9308,0.9314,0.9296,0.931,0.9328,0.9322
"[C(256,1,1), C(128,1,1), D(1,4), C(512,3,1), C(256,1,1), D(2,4), C(128,3,1), C(128,3,1), D(3,4), C(512,1,1), SM(10)]",svhn,1524480,8,0.000064,0.5758,0.6412,0.6742,0.7648,0.7914,0.8326,0.841,0.8422,0.844,0.8474,0.8556,0.8544,0.8548,0.856,0.856,0.8552,0.856,0.8556,0.8554,0.856
"[C(64,5,1), C(128,5,1), D(1,4), C(128,5,1), C(64,3,1), D(2,4), C(64,1,1), C(512,5,1), D(3,4), P(2,2), SM(10)]",svhn,1516224,8,0.001,0.7914,0.8354,0.8542,0.8654,0.8712,0.8916,0.8974,0.898,0.8982,0.9004,0.9072,0.909,0.9082,0.909,0.9088,0.9098,0.9102,0.9106,0.911,0.9108
"[C(256,1,1), C(128,3,1), D(1,5), C(256,1,1), C(64,3,1), D(2,5), C(64,3,1), C(256,5,1), D(3,5), C(512,3,1), C(128,1,1), D(4,5), C(256,5,1), C(64,1,1), D(5,5), C(512,5,1), GAP(10), SM(10)]",svhn,3827456,13,0.000064,0.2856,0.617,0.8316,0.8758,0.8944,0.908,0.9066,0.9112,0.9118,0.9102,0.9226,0.9224,0.9238,0.9248,0.9244,0.9266,0.9266,0.9264,0.9262,0.926
"[C(256,1,1), C(64,3,1), D(1,4), C(64,1,1), C(128,5,1), D(2,4), C(128,1,1), C(128,1,1), D(3,4), C(512,1,1), SM(10)]",svhn,717568,8,0.000064,0.6102,0.7818,0.818,0.833,0.8416,0.8624,0.8646,0.864,0.8654,0.8714,0.8774,0.877,0.878,0.8782,0.8798,0.883,0.8826,0.8836,0.8824,0.882
"[C(512,5,1), C(256,3,1), D(1,4), P(2,2), C(128,5,1), D(2,4), C(256,3,1), C(128,3,1), D(3,4), C(512,5,1), C(512,1,1), D(4,4), GAP(10), SM(10)]",svhn,4532736,10,0.0004,0.2782,0.7192,0.8862,0.8998,0.9162,0.9334,0.9344,0.9348,0.9356,0.9352,0.9442,0.9458,0.9448,0.9462,0.9472,0.9474,0.949,0.9486,0.9494,0.9482
"[C(64,5,1), C(512,3,1), D(1,4), C(128,3,1), C(256,5,1), D(2,4), C(64,5,1), C(256,3,1), D(3,4), P(2,2), SM(10)]",svhn,2265792,8,0.000026,0.601,0.6934,0.7338,0.7964,0.8326,0.857,0.8642,0.8678,0.873,0.8752,0.8822,0.8824,0.883,0.883,0.8834,0.8828,0.883,0.8834,0.8838,0.8842
"[C(512,1,1), P(2,2), D(1,6), C(64,3,1), C(256,5,1), D(2,6), C(64,5,1), C(128,1,1), D(3,6), P(5,3), C(128,1,1), D(4,6), FC(128), D(5,6), SM(10)]",svhn,1418752,10,0.0004,0.7174,0.821,0.8388,0.8448,0.8608,0.8906,0.893,0.8942,0.8954,0.9006,0.9026,0.9044,0.9072,0.905,0.9054,0.905,0.9058,0.9052,0.9064,0.9058
"[C(256,5,1), C(256,5,1), D(1,6), C(256,5,1), C(128,5,1), D(2,6), C(512,5,1), C(128,1,1), D(3,6), C(64,5,1), P(3,2), D(4,6), C(512,3,1), C(64,3,1), D(5,6), C(256,1,1), C(512,1,1), D(6,6), SM(10)]",svhn,7023360,13,0.000064,0.7644,0.8556,0.8862,0.8964,0.8986,0.9224,0.9214,0.9252,0.9264,0.9284,0.9334,0.9322,0.9352,0.9348,0.9328,0.9348,0.9352,0.934,0.935,0.9342
